seed,dimension,p,k,time,lowerBound,upperBound,termination,LMOcalls,openNodes
1,30,150,6.0,1.453425e6,3.5522895901920823,3.6177972196873176,Time limit reached,35006,916
1,30,150,6.0,1.454758e6,3.5522895901920823,3.6177972196873176,Time limit reached,35028,917
1,30,150,6.0,1.457405e6,3.552349378017918,3.6177972196873176,Time limit reached,35060,916
1,30,150,6.0,1.458994e6,3.552349378017918,3.6177972196873176,Time limit reached,35088,917
1,30,150,6.0,1.460317e6,3.5525272945125574,3.6177972196873176,Time limit reached,35110,916
1,30,150,6.0,1.461249e6,3.5525272945125574,3.6177972196873176,Time limit reached,35124,917
1,30,150,6.0,1.462617e6,3.552527345828683,3.6177972196873176,Time limit reached,35150,916
1,30,150,6.0,1.464074e6,3.552527345828683,3.6177972196873176,Time limit reached,35170,917
1,30,150,6.0,1.466511e6,3.55253330976101,3.6177972196873176,Time limit reached,35202,916
1,30,150,6.0,1.467639e6,3.55253330976101,3.6177972196873176,Time limit reached,35218,917
1,30,150,6.0,1.471461e6,3.5526001823105235,3.6177972196873176,Time limit reached,35250,916
1,30,150,6.0,1.473342e6,3.5526001823105235,3.6177972196873176,Time limit reached,35277,917
1,30,150,6.0,1.475825e6,3.5526895973696946,3.6177972196873176,Time limit reached,35303,916
1,30,150,6.0,1.476786e6,3.5526895973696946,3.6177972196873176,Time limit reached,35321,917
1,30,150,6.0,1.479389e6,3.5527147320625416,3.6177972196873176,Time limit reached,35337,916
1,30,150,6.0,1.481322e6,3.5527147320625416,3.6177972196873176,Time limit reached,35365,917
1,30,150,6.0,1.486277e6,3.552740133888653,3.6177972196873176,Time limit reached,35413,916
1,30,150,6.0,1.48797e6,3.552740133888653,3.6177972196873176,Time limit reached,35438,917
1,30,150,6.0,1.494385e6,3.552785614667496,3.6177972196873176,Time limit reached,35470,916
1,30,150,6.0,1.495738e6,3.552785614667496,3.6177972196873176,Time limit reached,35488,917
1,30,150,6.0,1.498229e6,3.5529230747185334,3.6177972196873176,Time limit reached,35516,916
1,30,150,6.0,1.499726e6,3.5529230747185334,3.6177972196873176,Time limit reached,35536,917
1,30,150,6.0,1.501529e6,3.5529646250340843,3.6177972196873176,Time limit reached,35561,916
1,30,150,6.0,1.503415e6,3.5529646250340843,3.6177972196873176,Time limit reached,35590,917
1,30,150,6.0,1.506493e6,3.5530038356779063,3.6177972196873176,Time limit reached,35622,916
